F_0,M_0,O_0,dia
32.30032955128205,26.944754327956993,21.23495,2016-01-29
34.929437490961675,29.66701368977673,38.856827777777774,2016-01-30
54.146797387785135,38.32473562858634,44.321783333333336,2016-01-31
41.5010322954823,47.228503983228514,11.22655,2016-02-01
27.545009722222222,27.2541832746995,7.332533333333333,2016-02-02
29.709301347117794,29.167538310580202,15.06816,2016-02-03
36.77465201583873,35.11883874538745,0.0,2016-02-04
33.91264597701149,32.68849726391495,31.393416666666667,2016-02-05
34.3389636277303,30.452241336502905,0.0,2016-02-06
47.30734896174863,35.134020356234096,92.19694166666667,2016-02-07
40.58263537313433,38.95758154761906,0.0,2016-02-08
40.23231147082334,32.890337340764326,82.07038333333334,2016-02-09
34.30276154684096,26.294501900108575,12.237,2016-02-10
37.31429384384384,32.16007556561085,12.069833333333333,2016-02-11
25.59784375886525,25.02101964495305,5.056116666666667,2016-02-12
31.941898721023176,28.981368843069873,0.0,2016-02-13
47.9538067251462,40.96717028885833,87.44295,2016-02-14
31.327427141828654,25.943270945359927,19.957825,2016-02-15
33.49613575215374,30.23101931818182,30.095666666666666,2016-02-16
35.296489014438166,24.20794848993289,0.0,2016-02-17
34.500213802622504,25.201002516309412,0.0,2016-02-18
26.50237359131025,27.99473342277877,0.0,2016-02-19
63.909232400497515,34.96714244482173,83.05133333333333,2016-02-20
51.394294593663915,44.65241106382979,125.48133333333334,2016-02-21
29.743129824561404,28.40754141509434,0.0,2016-02-22
37.17869419753087,24.51910098694683,4.61945,2016-02-23
34.679312951167724,24.768386787419264,11.005725,2016-02-24
30.913392180685353,26.429296945120303,52.116299999999995,2016-02-25
27.73334421433268,28.403111546272118,7.808783333333333,2016-02-26
36.40786604444445,29.073411056105613,23.657255555555555,2016-02-27
49.50499176424668,42.725793186582806,70.362775,2016-02-28
32.03254493991145,25.31609375669882,41.101333333333336,2016-02-29
27.869474387011262,23.238797012578615,0.0,2016-03-01
29.07475880681818,25.594502425474253,7.5449166666666665,2016-03-02
34.89071454861111,26.605834227711526,28.85807666666667,2016-03-03
34.59759373219373,28.31704388938448,0.0,2016-03-04
34.7566857605178,33.92686231105807,0.0,2016-03-05
45.82659633812457,40.36766021431829,0.0,2016-03-06
24.911325534851624,24.01518808275058,5.540233333333333,2016-03-07
31.271351163586584,26.404606326763783,0.0,2016-03-08
24.565132604735886,23.965231331665276,0.0,2016-03-09
33.21676017759563,26.832918923766815,190.987975,2016-03-10
34.45945990338165,35.028157407407406,6.2166,2016-03-11
45.65692022116904,40.359833419577406,42.795075,2016-03-12
54.62955033840947,45.53583372434018,0.0,2016-03-13
45.993828383604026,32.539671228070176,0.0,2016-03-14
32.64438056118999,29.7185031824417,0.0,2016-03-15
28.876153960709757,26.64483557823129,0.0,2016-03-16
33.438336892655364,32.63027059538274,42.74745,2016-03-17
32.43795456178161,27.97229919398907,0.0,2016-03-18
40.98718859649122,33.561224875,0.0,2016-03-19
49.14526819505094,41.98573408720457,46.17395,2016-03-20
32.88429951159951,24.891853891837254,0.0,2016-03-21
31.31314842657343,27.122980373947495,23.090666666666667,2016-03-22
34.58344366972477,23.431997083981337,50.138,2016-03-23
30.526498123123122,26.606887062088102,30.352933333333333,2016-03-24
