dia,M_0,F_0,O_0,M_3,F_3,O_3,M_4,F_4,O_4,num_of_stations
2015-10-15,1030,486,4.0,113,51,0.0,0.0,0.0,0.0,40.0
2015-10-16,1065,509,1.0,127,52,0.0,0.0,1.0,0.0,40.0
2015-10-17,707,365,0.0,77,40,0.0,0.0,0.0,0.0,40.0
2015-10-18,746,579,0.0,97,62,0.0,1.0,0.0,0.0,40.0
2015-10-19,943,481,1.0,78,62,0.0,0.0,0.0,0.0,40.0
2015-10-20,1142,472,1.0,132,61,0.0,0.0,0.0,0.0,40.0
2015-10-21,1072,514,1.0,107,61,0.0,0.0,0.0,0.0,40.0
2015-10-22,1051,490,1.0,153,85,0.0,2.0,0.0,0.0,40.0
2015-10-23,1051,492,1.0,162,77,0.0,1.0,1.0,0.0,40.0
2015-10-24,731,385,2.0,117,65,0.0,0.0,0.0,0.0,44.0
2015-10-25,772,586,0.0,126,86,0.0,0.0,0.0,0.0,44.0
2015-10-26,1043,481,0.0,187,83,0.0,0.0,0.0,0.0,44.0
2015-10-27,1138,491,0.0,225,79,0.0,2.0,0.0,0.0,44.0
2015-10-28,1125,527,2.0,209,97,0.0,2.0,0.0,0.0,44.0
2015-10-29,1084,509,0.0,204,91,0.0,3.0,1.0,0.0,44.0
2015-10-30,1071,515,0.0,172,60,0.0,1.0,1.0,0.0,44.0
2015-10-31,842,489,1.0,130,60,1.0,1.0,0.0,0.0,51.0
2015-11-01,738,538,2.0,110,95,0.0,0.0,1.0,0.0,51.0
2015-11-02,926,682,0.0,115,77,0.0,1.0,1.0,0.0,51.0
2015-11-03,1152,587,0.0,203,85,0.0,1.0,0.0,0.0,51.0
2015-11-04,1237,650,1.0,200,121,0.0,1.0,0.0,0.0,51.0
2015-11-05,1357,662,0.0,247,113,0.0,1.0,0.0,0.0,51.0
2015-11-06,1262,575,0.0,266,122,0.0,1.0,0.0,0.0,52.0
2015-11-07,1052,604,2.0,148,96,0.0,0.0,0.0,0.0,52.0
2015-11-08,910,674,1.0,126,87,0.0,1.0,0.0,0.0,52.0
2015-11-09,1282,682,1.0,195,90,0.0,0.0,1.0,0.0,52.0
2015-11-10,1452,711,2.0,221,100,0.0,1.0,1.0,0.0,52.0
2015-11-11,1282,685,0.0,216,102,0.0,1.0,0.0,0.0,52.0
2015-11-12,1549,769,1.0,231,116,0.0,1.0,0.0,0.0,58.0
2015-11-13,1480,826,0.0,235,136,0.0,1.0,0.0,0.0,58.0
2015-11-14,1161,663,2.0,200,105,0.0,1.0,0.0,0.0,58.0
2015-11-15,1017,815,0.0,175,115,0.0,0.0,0.0,0.0,58.0
2015-11-16,1530,742,3.0,253,135,0.0,0.0,0.0,0.0,58.0
